Id,mszoning,bathrooms,bedrooms,finishedsqft,lastsoldyear,lastsoldprice,neighborhood,totalrooms,yearbuilt
980,RL,2,3,1121,2009,139000,Sawyer,5,1963
981,RL,3,3,999,2008,178400,NAmes,6,1961
982,RL,4,4,2612,2009,336000,NoRidge,8,1998
983,RL,4,2,1266,2008,159895,Blmngtn,6,2007
984,RL,5,4,2290,2008,255900,CollgCr,9,2002
985,RL,4,4,1734,2009,126000,Mitchel,8,1977
986,RL,2,3,1164,2008,125000,Edwards,5,1950
987,RM,3,2,1635,2006,117000,OldTown,5,1910
988,RL,5,3,1940,2010,395192,NridgHt,8,2009
989,RL,4,4,2030,2007,195000,NWAmes,8,1976
990,FV,3,3,1576,2006,197000,Somerst,6,2006
991,RL,4,3,2392,2006,348000,NoRidge,7,1997
992,RM,4,4,1742,2009,168000,OldTown,8,1882
993,RL,4,3,1851,2007,187000,NAmes,7,1964
994,RL,3,3,1500,2006,173900,CollgCr,6,2005
995,RL,4,3,1718,2009,337500,NridgHt,7,2006
996,RL,2,3,1230,2006,121600,BrkSide,5,1946
997,RL,3,3,1050,2006,136500,NAmes,6,1961
998,RL,4,2,1442,2009,185000,NWAmes,6,1970
999,RM,3,3,1077,2006,91000,IDOTRR,6,1922
1000,RL,4,2,1208,2010,206000,CollgCr,6,2006
1001,RL,2,2,944,2009,82000,Edwards,4,1952
1002,RL,2,2,691,2007,86000,OldTown,4,1920
1003,RL,4,3,1574,2008,232000,Somerst,7,2006
1004,RL,4,4,1680,2007,136905,NWAmes,8,1976
1005,RL,6,1,1504,2009,181000,Blmngtn,7,2005
1006,RL,3,3,985,2008,149900,CollgCr,6,1977
1007,RL,4,3,1657,2007,163500,NAmes,7,1970
1008,RM,3,3,1092,2009,88000,MeadowV,6,1970
1009,RL,4,3,1710,2009,240000,Mitchel,7,2004
1010,RL,3,4,1522,2006,102000,SWISU,7,1926
1011,RL,3,4,1271,2008,135000,Sawyer,7,1948
1012,RL,4,4,1664,2010,100000,Edwards,8,1965
1013,RL,4,3,1502,2007,165000,Crawfor,7,1923
1014,RM,2,2,1022,2009,85000,OldTown,4,1910
1015,RL,3,2,1082,2007,119200,NAmes,5,1948
1016,RL,3,3,1665,2009,227000,NWAmes,6,2001
1017,RL,3,3,1504,2009,203000,CollgCr,6,1996
1018,RL,3,1,1360,2009,187500,StoneBr,4,1984
1019,RL,4,3,1472,2007,160000,Gilbert,7,1991
1020,RL,4,2,1506,2006,213490,Blmngtn,6,2005
1021,RL,3,2,1132,2008,176000,Edwards,5,2005
1022,RL,4,2,1220,2006,194000,CollgCr,6,2006
1023,RM,4,2,1248,2007,87000,OldTown,6,1930
1024,RL,5,2,1504,2008,191000,Blmngtn,7,2005
1025,RL,8,2,2898,2008,287000,Timber,10,1976
1026,RL,2,3,882,2007,112500,CollgCr,5,1972
1027,RL,3,3,1264,2010,167500,NAmes,6,1960
1028,RL,4,3,1646,2008,293077,Timber,7,2007
1029,RL,3,3,1376,2007,105000,NAmes,6,1941
1030,RM,4,3,1218,2006,118000,BrDale,7,1972
1031,RH,5,5,1928,2006,160000,SWISU,10,1916
1032,RL,7,5,3082,2009,197000,SWISU,12,1920
1033,RL,5,5,2520,2006,310000,NoRidge,10,1993
1034,RL,3,3,1654,2006,230000,CollgCr,6,2002
1035,RL,3,2,954,2007,119750,Crawfor,5,1938
1036,RL,2,3,845,2009,84000,Edwards,5,1957
1037,RL,4,2,1620,2009,315500,Timber,6,2007
1038,RL,4,3,2263,2008,287000,CollgCr,7,2001
1039,RM,3,3,1344,2009,97000,MeadowV,6,1970
1040,RM,2,1,630,2009,80000,MeadowV,3,1970
1041,RL,5,3,1803,2006,155000,Sawyer,8,1957
1042,RL,3,4,1632,2008,173000,NWAmes,7,1966
1043,RL,4,1,1306,2009,196000,NridgHt,5,2005
1044,RL,6,4,2329,2008,262280,SawyerW,10,1990
1045,RL,5,4,2524,2009,278000,NWAmes,9,1981
1046,RL,4,4,1733,2009,139600,Edwards,8,1955
1047,RL,7,4,2868,2006,556581,StoneBr,11,2005
1048,RL,2,3,990,2008,145000,CollgCr,5,1994
1049,RL,6,3,1771,2009,115000,Mitchel,9,1960
1050,RL,4,2,930,2010,84900,Edwards,6,1946
1051,RL,3,3,1302,2007,176485,Gilbert,6,2007
1052,RL,3,3,1316,2007,200141,CollgCr,6,2007
1053,RL,5,4,1977,2007,165000,NAmes,9,1964
1054,RL,3,4,1526,2010,144500,Edwards,7,1957
1055,RL,4,3,1989,2006,255000,CollgCr,7,2002
1056,RL,4,3,1523,2008,180000,NWAmes,7,1976
1057,RL,4,2,1364,2006,185850,NridgHt,6,2005
1058,RL,4,3,1850,2009,248000,NoRidge,7,1994
1059,RL,7,3,2184,2009,335000,NridgHt,10,2008
1060,RL,4,3,1991,2007,220000,Crawfor,7,1932
1061,RL,4,2,1338,2010,213500,StoneBr,6,2001
1062,C (all),4,2,894,2008,81000,IDOTRR,6,1935
1063,RM,5,5,2337,2007,90000,OldTown,10,1900
1064,RM,3,2,1103,2006,110500,OldTown,5,1925
1065,RL,3,3,1154,2009,154000,NAmes,6,1966
1066,RL,4,3,2260,2010,328000,ClearCr,7,1996
1067,RL,4,3,1571,2009,178000,Gilbert,7,1993
1068,RL,3,4,1611,2008,167900,NAmes,7,1964
1069,RM,5,5,2521,2006,151400,MeadowV,10,1973
1070,RL,2,2,893,2007,135000,NAmes,4,1949
1071,RL,3,3,1048,2007,135000,NAmes,6,1956
1072,RL,4,4,1556,2009,154000,NWAmes,8,1968
1073,RL,3,4,1456,2006,91500,Edwards,7,1948
1074,RL,3,3,1426,2009,159500,Edwards,6,1977
1075,RL,3,2,1240,2007,194000,CollgCr,5,2006
1076,RL,3,3,1740,2007,219500,Crawfor,6,1940
1077,RL,4,3,1466,2006,170000,OldTown,7,1936
1078,RL,3,3,1096,2006,138800,NAmes,6,1969
1079,RM,2,1,848,2006,155900,CollgCr,3,2004
1080,RL,2,3,990,2007,126000,CollgCr,5,1994
1081,RL,2,3,1258,2008,145000,NWAmes,5,1971
1082,RL,2,3,1040,2010,133000,Sawyer,5,1963
1083,RL,3,3,1459,2007,192000,CollgCr,6,2002
1084,RL,3,3,1251,2006,160000,NAmes,6,1964
1085,RL,3,3,1498,2006,187500,Gilbert,6,1995
1086,RL,3,2,996,2010,147000,SawyerW,5,1992
1087,RM,3,3,1092,2010,83500,MeadowV,6,1973
1088,FV,6,3,1953,2009,252000,Somerst,9,2005
1089,RM,4,3,1709,2006,137500,Edwards,7,2004
1090,FV,3,1,1247,2006,197000,Somerst,4,2005
1091,RL,4,2,1040,2009,92900,NAmes,6,1950
1092,FV,2,2,1252,2008,160000,Somerst,4,1999
1093,RL,3,4,1694,2008,136500,SWISU,7,1925
1094,RL,5,1,1200,2006,146000,NAmes,6,1965
1095,RL,2,2,936,2010,129000,NAmes,4,1956
1096,RL,3,3,1314,2007,176432,CollgCr,6,2006
1097,RM,4,3,1355,2007,127000,IDOTRR,7,1914
1098,RL,3,2,1088,2007,170000,StoneBr,5,1986
1099,RM,3,3,1324,2009,128000,BrkSide,6,1936
1100,RL,4,3,1601,2009,157000,NWAmes,7,1978
1101,RL,2,1,438,2009,60000,SWISU,3,1920
1102,RL,2,3,950,2007,119500,NAmes,5,1971
1103,RL,4,2,1134,2007,135000,NAmes,6,1960
1104,RL,3,3,1194,2006,159500,NAmes,6,1959
1105,RM,3,3,1302,2007,106000,BrDale,6,1970
1106,RL,6,3,2622,2010,325000,NoRidge,9,1994
1107,RL,3,3,1442,2007,179900,SawyerW,6,1990
1108,RL,6,3,2021,2006,274725,Gilbert,9,2006
1109,RL,4,3,1690,2007,181000,Gilbert,7,2000
1110,RL,4,3,1836,2009,280000,NridgHt,7,2004
1111,RL,5,3,1658,2008,188000,Gilbert,8,1995
1112,RL,4,4,1964,2008,205000,NWAmes,8,1976
1113,RL,3,2,816,2006,129900,NAmes,5,1957
1114,RL,4,2,1008,2007,134500,NAmes,6,1953
1115,RL,2,2,833,2006,117000,OldTown,4,1954
1116,RL,4,3,1734,2007,318000,NridgHt,7,2007
1117,RL,4,3,1419,2009,184100,Gilbert,7,2002
1118,RL,2,3,894,2008,130000,Sawyer,5,1967
1119,RL,3,3,1601,2008,140000,Sawyer,6,1958
1120,RL,3,3,1040,2006,133700,NAmes,6,1959
1121,RM,4,2,1012,2007,118400,IDOTRR,6,1920
1122,RL,4,3,1552,2006,212900,CollgCr,7,2005
1123,RL,2,3,960,2009,112000,Edwards,5,1956
1124,RL,2,2,698,2009,118000,Edwards,4,1947
1125,RL,4,3,1482,2007,163900,Gilbert,7,1992
1126,RL,3,2,1005,2009,115000,NAmes,5,1955
1127,RL,5,2,1555,2009,174000,Blmngtn,7,2007
1128,RL,4,3,1530,2007,259000,Gilbert,7,2004
1129,RL,4,4,1959,2007,215000,Gilbert,8,2004
1130,RM,2,2,936,2007,140000,OldTown,4,1980
1131,RL,3,4,1981,2009,135000,SWISU,7,1928
1132,RL,2,3,974,2007,93500,Mitchel,5,1991
1133,RM,3,5,2210,2007,117500,OldTown,8,1880
1134,RL,5,3,2020,2009,239500,SawyerW,8,1995
1135,RL,4,3,1600,2007,169000,Gilbert,7,1997
1136,RM,3,2,986,2007,102000,BrkSide,5,1926
1137,RL,3,3,1252,2008,119000,NAmes,6,1950
1138,RL,4,2,1020,2010,94000,Sawyer,6,1875
1139,RL,3,2,1567,2009,196000,Mitchel,5,1977
1140,RL,3,3,1167,2007,144000,BrkSide,6,1920
1141,RL,2,2,952,2008,139000,NAmes,4,1951
1142,RL,5,4,1868,2009,197500,NWAmes,9,1976
1143,RL,7,4,2828,2007,424870,CollgCr,11,2006
1144,RL,2,3,1006,2008,80000,Sawyer,5,1959
1145,RL,3,2,924,2010,80000,Edwards,5,1941
1146,RM,5,3,1576,2006,149000,BrkSide,8,1928
1147,RL,2,3,1298,2006,180000,SawyerW,5,1985
1148,RL,4,3,1564,2009,174500,Crawfor,7,1941
1149,RM,3,2,1111,2008,116900,OldTown,5,1926
1150,RM,4,3,1482,2009,143000,OldTown,7,1920
1151,RL,2,2,932,2007,124000,NAmes,4,1950
1152,RL,3,3,1466,2006,149900,Edwards,6,1959
1153,RL,4,2,1811,2006,230000,Crawfor,6,1956
1154,RM,3,2,816,2008,120500,IDOTRR,5,1930
1155,RL,4,4,1820,2008,201800,NAmes,8,1965
1156,RL,3,3,1437,2007,218000,Veenker,6,1976
1157,RL,3,3,1265,2008,179900,NAmes,6,1965
1158,RL,4,2,1314,2009,230000,NridgHt,6,2007
1159,RL,4,3,1580,2008,235128,Somerst,7,2007
1160,RL,4,4,1876,2008,185000,NWAmes,8,1974
1161,RL,4,3,1456,2010,146000,NPkVill,7,1978
1162,RL,4,3,1640,2008,224000,Crawfor,7,1954
1163,RL,2,3,894,2007,129000,Sawyer,5,1968
1164,RL,6,0,1258,2008,108959,Sawyer,6,1969
1165,RL,3,2,1432,2007,194000,Veenker,5,1978
1166,RL,4,3,1502,2009,233170,NridgHt,7,2009
1167,RL,4,3,1694,2010,245350,CollgCr,7,2008
1168,RL,4,3,1671,2006,173000,Gilbert,7,2000
1169,RL,3,4,2108,2008,235000,Edwards,7,1935
1170,RL,6,4,3627,2006,625000,NoRidge,10,1995
1171,RL,3,3,1118,2008,171000,Mitchel,6,1977
1172,RL,3,3,1261,2008,163000,NAmes,6,1958
1173,FV,3,2,1250,2008,171900,Somerst,5,2006
1174,RL,9,3,3086,2007,200500,ClearCr,12,1946
1175,RL,5,4,2345,2006,239000,Crawfor,9,1932
1176,RL,5,4,2872,2007,285000,NoRidge,9,1992
1177,RL,2,3,923,2008,119500,Mitchel,5,1984
1178,RM,2,3,1224,2009,115000,OldTown,5,1926
1179,RL,4,3,1343,2009,154900,Crawfor,7,1921
1180,RL,2,3,1124,2006,93000,Edwards,5,1954
1181,RL,4,4,2514,2006,250000,Timber,8,1990
1182,RM,3,2,1652,2008,392500,Crawfor,5,2008
1184,RL,3,2,1130,2006,120000,OldTown,5,1920
1185,RL,2,3,1572,2007,186700,Timber,5,1963
1186,RL,3,4,1221,2006,104900,Edwards,7,1924
1187,RL,4,3,1699,2009,95000,OldTown,7,1900
1188,RL,3,2,1624,2006,262000,NoRidge,5,1994
1189,RL,4,3,1660,2009,195000,CollgCr,7,2002
1190,RL,4,3,1804,2010,189000,Gilbert,7,1999
1191,RL,4,3,1622,2007,168000,Mitchel,7,1961
1192,FV,3,2,1441,2007,174000,Somerst,5,1999
1193,RM,3,3,1472,2007,125000,OldTown,6,1925
1194,RM,3,2,1224,2009,165000,Mitchel,5,1999
1195,RL,3,4,1352,2010,158000,Sawyer,7,1969
1196,RL,5,3,1456,2008,176000,Gilbert,8,2005
1197,RL,5,4,1863,2006,219210,Gilbert,9,2006
1198,RM,4,3,1690,2006,144000,OldTown,7,1916
1199,RL,3,3,1212,2009,178000,CollgCr,6,2001
1200,RL,3,3,1382,2006,148000,Sawyer,6,1963
1201,RL,2,3,864,2006,116050,NAmes,5,1970
1202,RL,3,3,1779,2009,197900,CollgCr,6,1998
1203,RM,2,3,1348,2009,117000,BrkSide,5,1925
1204,RL,3,3,1630,2009,213000,CollgCr,6,2000
1205,RL,3,3,1074,2006,153500,NWAmes,6,1975
1206,RL,4,3,2196,2009,271900,SawyerW,7,1990
1207,RH,3,2,1056,2006,107000,SawyerW,5,1966
1208,RL,4,3,1700,2006,200000,CollgCr,7,2003
1209,RL,3,3,1283,2008,140000,NAmes,6,1962
1210,RL,5,3,1660,2006,290000,Somerst,8,2006
1211,RL,5,3,1845,2010,189000,SawyerW,8,1992
1212,RL,4,4,1752,2010,164000,Gilbert,8,1988
1213,RL,2,2,672,2009,113000,Edwards,4,1941
1214,RL,3,0,960,2006,145000,Sawyer,3,1965
1215,RL,3,3,999,2006,134500,NAmes,6,1962
1216,RL,2,3,894,2007,125000,Sawyer,5,1966
1217,RM,4,4,1902,2010,112000,Sawyer,8,1978
1218,FV,3,3,1314,2009,229456,Somerst,6,2009
1219,RM,1,2,912,2006,80500,BrkSide,3,1947
1220,RM,4,3,1218,2006,91500,BrDale,7,1971
1221,RL,3,2,912,2006,115000,NAmes,5,1964
1222,RL,2,3,1211,2008,134000,Sawyer,5,1968
1223,RL,4,3,1846,2007,143000,NAmes,7,1949
1224,RL,3,4,2136,2006,137900,NAmes,7,1951
1225,RL,5,3,1490,2008,184000,Gilbert,8,2004
1226,RL,3,3,1138,2007,145000,NAmes,6,1958
1227,RL,5,4,1933,2008,214000,Somerst,9,2007
1228,RL,3,2,912,2008,147000,NAmes,5,1965
1229,RL,6,1,1702,2008,367294,NridgHt,7,2008
1230,RL,3,4,1507,2008,127000,NAmes,7,1960
1231,RL,8,4,2620,2007,190000,Sawyer,12,1977
1232,RL,3,3,1190,2006,132500,NAmes,6,1962
1233,RL,4,2,1224,2007,101800,NAmes,6,1962
1234,RL,3,3,1188,2010,142000,NAmes,6,1959
1235,RH,3,4,1964,2008,130000,SWISU,7,1911
1236,RL,5,4,1784,2006,138887,Crawfor,9,1914
1237,RL,4,2,1626,2010,175500,NridgHt,6,2003
1238,RL,4,4,1948,2006,195000,CollgCr,8,2004
1239,RL,3,3,1141,2006,142500,SawyerW,6,2005
1240,RL,4,2,1484,2007,265900,Timber,6,2006
1241,RL,5,3,1768,2008,224900,CollgCr,8,2003
1242,RL,4,3,1689,2007,248328,Somerst,7,2007
1243,RL,3,3,1173,2010,170000,NWAmes,6,1974
1244,RL,5,2,2076,2006,465000,NridgHt,7,2006
1245,RL,4,3,1517,2006,230000,Crawfor,7,1929
1246,RL,4,3,1868,2007,178000,NWAmes,7,1984
1247,FV,3,3,1553,2006,186500,Somerst,6,2005
1248,RL,3,3,1034,2010,169900,Mitchel,6,1976
1249,RM,5,3,2058,2008,129500,OldTown,8,1917
1250,RL,3,3,988,2007,119000,NAmes,6,1950
1251,RL,5,3,2110,2010,244000,NAmes,8,1968
1252,RL,4,2,1405,2006,171750,NridgHt,6,2003
1253,RL,2,3,874,2009,130000,Mitchel,5,1968
1254,RL,6,3,2167,2007,294000,Veenker,9,1974
1255,RL,4,3,1656,2008,165400,Edwards,7,2003
1256,RM,3,3,1367,2007,127500,BrkSide,6,1931
1257,RL,5,2,1987,2008,301500,NoRidge,7,1994
1258,RL,2,2,864,2009,99900,Edwards,4,1922
1259,RL,3,2,1166,2008,190000,Gilbert,5,2005
1260,RL,3,3,1054,2008,151000,NAmes,6,1969
1261,RL,4,3,1675,2009,181000,Gilbert,7,1999
1262,RL,3,2,1050,2009,128900,NAmes,5,1956
1263,RL,3,5,1788,2009,161500,ClearCr,8,1957
1264,RL,5,3,1824,2007,180500,BrkSide,8,1919
1265,RH,3,2,1337,2008,181000,NAmes,5,1998
1266,FV,3,3,1452,2006,183900,Somerst,6,1999
1267,RM,5,4,1889,2007,122000,OldTown,9,1910
1268,RL,7,3,2018,2010,378500,Timber,10,2008
1269,RL,7,4,3447,2008,381000,Crawfor,11,1935
1270,RL,4,3,1524,2007,144000,NAmes,7,1958
1271,RL,4,0,1524,2010,260000,ClearCr,4,1979
1272,RL,4,3,1489,2009,185750,NWAmes,7,1968
1273,RL,2,3,935,2006,137000,Sawyer,5,1965
1274,RL,3,2,1357,2008,177000,Edwards,5,1959
1275,RL,5,3,1250,2007,139000,Crawfor,8,1910
1276,RL,6,4,1920,2007,137000,NAmes,10,1948
1277,RL,3,3,1395,2009,162000,NWAmes,6,1972
1278,RL,4,3,1724,2009,197900,NWAmes,7,1967
1279,RL,4,3,2031,2008,237000,CollgCr,7,2002
1280,C (all),4,2,1128,2010,68400,IDOTRR,6,1920
1281,RL,3,3,1573,2009,227000,CollgCr,6,2002
1282,RL,4,2,1339,2006,180000,Timber,6,1990
1283,RL,2,3,1040,2009,150500,CollgCr,5,1977
1284,RL,4,4,1824,2010,139000,Mitchel,8,1971
1285,RL,6,4,2447,2010,169000,SWISU,10,1919
1286,RM,2,4,1412,2009,132500,BrkSide,6,1939
1287,RL,3,3,1328,2010,143000,NWAmes,6,1963
1288,RL,3,4,1582,2006,190000,ClearCr,7,1964
1289,RL,3,2,1659,2009,278000,StoneBr,5,2000
1290,RL,5,3,1970,2006,281000,NridgHt,8,2006
1291,RL,3,3,1152,2010,180500,NAmes,6,1964
1292,RM,3,3,1302,2009,119500,BrDale,6,1972
1293,RM,7,4,2372,2009,107500,OldTown,11,1892
1294,RL,4,4,1664,2006,162900,NWAmes,8,1976
1295,RL,3,2,864,2006,115000,Edwards,5,1955
1296,RL,2,3,1052,2006,138500,NAmes,5,1968
1297,RL,3,3,1128,2008,155000,NAmes,6,1963
1298,RM,3,2,1072,2006,140000,Edwards,5,2005
1300,RL,3,3,1246,2010,154000,NAmes,6,1959
1301,RL,6,3,1983,2009,225000,Gilbert,9,1999
1302,RL,4,3,1494,2009,177500,Crawfor,7,1942
1303,RL,4,4,2526,2006,290000,NoRidge,8,1994
1304,RL,4,3,1616,2006,232000,Somerst,7,2005
1305,RM,4,3,1708,2006,130000,Edwards,7,2004
1306,RL,4,2,1652,2009,325000,NridgHt,6,2006
1307,RL,4,2,1368,2006,202500,NridgHt,6,2005
1308,RL,2,3,990,2009,138000,CollgCr,5,1994
1309,RM,4,2,1122,2008,147000,OldTown,6,1948
1310,RL,3,3,1294,2008,179200,SawyerW,6,1991
1311,RL,4,3,1902,2010,335000,Crawfor,7,1959
1312,RL,3,3,1274,2007,203000,CollgCr,6,2005
1313,RL,5,4,2810,2007,302000,NoRidge,9,1990
1314,RL,6,4,2599,2010,333168,NoRidge,10,1999
1315,RL,2,3,948,2007,119000,Edwards,5,1954
1316,RL,5,4,2112,2008,206900,NAmes,9,1969
1317,RL,5,3,1630,2009,295493,CollgCr,8,2008
1318,FV,3,2,1352,2007,208900,Somerst,5,2006
1319,RL,4,3,1787,2006,275000,CollgCr,7,2001
1320,RL,2,3,948,2007,111000,Edwards,5,1954
1321,RL,3,3,1478,2009,156500,NAmes,6,1957
1322,RL,2,2,720,2008,72500,BrkSide,4,1949
1323,RL,5,3,1923,2010,190000,NoRidge,8,1992
1324,RL,3,2,708,2009,82500,BrkSide,5,1940
1325,RL,5,2,1795,2007,147000,Somerst,7,2006
1326,RM,3,2,796,2008,55000,IDOTRR,5,1922
1327,RH,3,3,774,2007,79000,Edwards,6,1931
1328,RL,2,3,816,2008,130500,Mitchel,5,1982
1329,RM,3,5,2792,2008,256000,OldTown,8,1920
1330,RL,5,3,1632,2006,176500,Gilbert,8,1998
1331,RL,4,3,1588,2007,227000,Somerst,7,2006
1332,RL,3,3,954,2006,132500,CollgCr,6,1976
1333,RL,1,2,816,2009,100000,Edwards,3,1938
1334,RM,4,2,1360,2006,125500,IDOTRR,6,1938
1335,RM,4,3,1365,2009,125000,BrDale,7,1970
1336,RL,4,2,1334,2009,167900,NWAmes,6,1977
1337,RL,4,4,1656,2008,135000,NWAmes,8,1973
1338,RM,2,2,693,2006,52500,OldTown,4,1941
1339,RL,5,3,1861,2006,200000,CollgCr,8,2002
1340,RL,2,3,864,2006,128500,CollgCr,5,1972
1341,RL,2,3,872,2007,123000,NAmes,5,1971
1342,RL,3,3,1114,2008,155000,SawyerW,6,2003
1343,RL,4,3,2169,2007,228500,CollgCr,7,2002
1344,RL,6,3,1913,2009,177000,Crawfor,9,1928
1345,RL,5,3,1456,2007,155835,CollgCr,8,2006
1346,RM,3,2,960,2007,108500,OldTown,5,1920
1347,RL,6,3,2156,2006,262500,NWAmes,9,1968
1348,RL,4,3,1776,2007,283463,Timber,7,2006
1349,RL,2,3,1494,2007,215000,SawyerW,5,1998
1350,RM,4,4,2358,2008,122000,OldTown,8,1872
1351,RL,6,6,2634,2009,200000,NAmes,12,1969
1352,RL,4,4,1716,2008,171000,NAmes,8,1962
1353,RM,2,2,1176,2009,134900,BrkSide,4,1937
1354,RL,5,4,3238,2010,410000,NoRidge,9,1995
1355,RL,4,3,1865,2008,235000,CollgCr,7,2000
1356,RL,4,4,1920,2006,170000,NWAmes,8,1968
1357,RL,2,3,892,2008,110000,NAmes,5,1966
1358,RL,3,3,1078,2010,149900,NAmes,6,1971
1359,FV,2,3,1573,2010,177500,Somerst,5,2000
1360,RL,5,3,1980,2006,315000,NridgHt,8,2004
1361,RL,4,4,2601,2008,189000,SWISU,8,1921
1362,RL,4,3,1530,2009,260000,StoneBr,7,2005
1363,RL,3,4,1738,2009,104900,NAmes,7,1920
1364,RL,3,3,1412,2007,156932,Gilbert,6,2006
1365,FV,2,2,1200,2006,144152,Somerst,4,2005
1366,FV,4,3,1674,2010,216000,Somerst,7,2000
1367,RL,4,3,1790,2008,193000,CollgCr,7,1999
1368,RM,2,4,1475,2006,127000,MeadowV,6,1977
1369,RM,3,1,848,2009,144000,CollgCr,4,2003
1370,RL,5,3,1668,2010,232000,CollgCr,8,2003
1371,RL,4,2,1374,2009,105000,OldTown,6,1920
1372,RL,5,3,1661,2008,165500,NAmes,8,1955
1373,RL,5,3,2097,2006,274300,CollgCr,8,1998
1374,RL,6,2,2633,2007,466500,NoRidge,8,2001
1375,FV,6,3,1958,2008,250000,Somerst,9,2005
1376,RL,4,3,1571,2007,239000,Timber,7,2007
1377,RL,2,2,790,2008,91000,SWISU,4,1930
1378,RL,3,3,1604,2009,117000,Edwards,6,1941
1379,RM,3,2,987,2006,83000,BrDale,5,1973
1380,RL,4,3,1394,2008,167500,Timber,7,2006
1381,RL,3,2,864,2010,58500,Edwards,5,1914
1382,RL,3,4,2117,2008,237500,NAmes,7,1970
1383,RM,4,4,1762,2006,157000,OldTown,8,1920
1384,RL,4,3,1416,2007,112000,Sawyer,7,1918
1385,RL,4,2,1258,2009,105000,Edwards,6,1939
1386,RM,4,3,1154,2010,125500,IDOTRR,7,1922
1387,RL,7,5,2784,2006,250000,NWAmes,12,1978
1388,RM,5,5,2526,2007,136000,OldTown,10,1916
1389,RL,4,3,1746,2009,377500,Gilbert,7,2006
1390,RM,3,3,1218,2007,131000,BrkSide,6,1941
1391,RL,3,3,1525,2006,235000,CollgCr,6,2000
1392,RL,4,4,1584,2009,124000,NAmes,8,1967
1393,RL,3,3,900,2006,123000,NAmes,6,1967
1394,RM,4,3,1912,2008,163000,OldTown,7,1905
1395,RL,4,2,1500,2006,246578,Blmngtn,6,2006
1396,RL,5,4,2482,2007,281213,Timber,9,2005
1397,RL,4,3,1687,2010,160000,Timber,7,1948
1398,RM,4,4,1513,2007,137500,BrkSide,8,1920
1399,RL,4,3,1904,2009,138000,NAmes,7,1950
1400,RL,4,3,1608,2009,137450,SWISU,7,1925
1401,RM,2,3,1158,2008,120000,BrkSide,5,1929
1402,RL,5,3,1593,2008,193000,Gilbert,8,2004
1403,RL,4,2,1294,2006,193879,CollgCr,6,2006
1404,RL,3,3,1464,2007,282922,Somerst,6,2007
1405,RL,3,3,1214,2006,105000,OldTown,6,1915
1406,RM,3,2,1646,2008,275000,Crawfor,5,2004
1407,RL,3,2,768,2009,133000,CollgCr,5,1972
1408,RL,2,3,833,2009,112000,Mitchel,5,1985
1409,RM,3,3,1363,2010,125500,OldTown,6,1910
1410,RL,4,3,2093,2008,215000,NWAmes,7,1986
1411,RL,3,3,1840,2009,230000,CollgCr,6,2001
1412,RL,3,3,1668,2009,140000,NAmes,6,1950
1413,RL,4,2,1040,2009,90000,NAmes,6,1949
1414,RL,5,2,1844,2009,257000,SawyerW,7,2005
1415,RL,4,4,1848,2008,207000,BrkSide,8,1923
1416,RL,6,1,1569,2009,175900,Blmngtn,7,2007
1417,RM,7,4,2290,2010,122500,OldTown,11,1885
1418,RL,4,3,2450,2009,340000,NoRidge,7,1998
1419,RL,3,3,1144,2008,124000,NAmes,6,1963
1420,RL,4,3,1844,2006,223000,Crawfor,7,1969
1421,RL,4,3,1416,2006,179900,NWAmes,7,1968
1422,RL,2,2,1069,2010,127500,NPkVill,4,1977
1423,RM,2,1,848,2008,136500,CollgCr,3,2003
1424,RL,4,4,2201,2006,274970,Edwards,8,1966
1425,RL,4,2,1344,2007,144000,NAmes,6,1958
1426,RL,4,3,1252,2008,142000,NAmes,7,1959
1427,RL,2,3,2127,2008,271000,NoRidge,5,1994
1428,RL,3,3,1558,2008,140000,NAmes,6,1945
1429,RM,2,2,804,2010,119000,OldTown,4,1940
1430,RL,4,3,1440,2007,182900,NWAmes,7,1981
1431,RL,3,4,1838,2006,192140,Gilbert,7,2005
1432,RL,3,2,958,2009,143750,NPkVill,5,1976
1433,RL,1,4,968,2007,64500,OldTown,5,1927
1434,RL,5,3,1792,2008,186500,Gilbert,8,2000
1435,RL,2,3,1126,2006,160000,Mitchel,5,1977
1436,RL,4,3,1537,2008,174000,NAmes,7,1962
1437,RL,2,3,864,2007,120500,NAmes,5,1971
1438,RL,5,2,1932,2008,394617,NridgHt,7,2008
1439,RM,4,2,1236,2010,149700,OldTown,6,1957
1440,RL,3,3,1725,2007,197000,NWAmes,6,1979
1441,RL,8,3,2555,2008,191000,Crawfor,11,1922
1442,RM,2,1,848,2008,149300,CollgCr,3,2004
1443,FV,7,3,2007,2009,310000,Somerst,10,2008
1444,RL,2,2,952,2009,121000,BrkSide,4,1916
1445,RL,4,3,1422,2007,179600,CollgCr,7,2004
1446,RL,3,3,913,2007,129000,Sawyer,6,1966
1447,RL,3,3,1188,2010,157900,Mitchel,6,1962
1448,RL,5,3,2090,2007,240000,CollgCr,8,1995
1449,RL,4,2,1346,2007,112000,Edwards,6,1910
1450,RM,2,1,630,2006,92000,MeadowV,3,1970
1451,RL,4,4,1792,2009,136000,NAmes,8,1974
1452,RL,4,3,1578,2009,287090,Somerst,7,2008
1453,RM,3,2,1072,2006,145000,Edwards,5,2005
1454,RL,3,3,1140,2006,84500,Mitchel,6,2006
1455,FV,4,2,1221,2009,185000,Somerst,6,2004
